Date,shop_id,item_id,item_price,item_cnt_day
Thursday,25,3193,449,1
Thursday,25,2973,2499,13
Saturday,25,2973,2499,5
Friday,25,2973,2499,3
Wednesday,25,2973,2499,2
Thursday,25,2973,2499,3
Saturday,25,2973,2499,1
Sunday,25,2973,2499,1
Sunday,25,2973,2499,2
Monday,25,2973,2499,2
Friday,25,2973,2499,2
Saturday,25,2973,2499,2
Tuesday,25,2973,2499,1
Saturday,25,2973,2499,1
Saturday,25,2973,2499,1
Sunday,25,2974,2499,3
Thursday,25,2974,2499,4
Monday,25,2974,2499,1
Saturday,25,2974,2499,1
Tuesday,25,2974,2499,1
Saturday,25,2974,2499,1
Monday,25,2974,2499,1
Tuesday,25,2974,2499,1
Monday,25,2649,1699,1
Sunday,25,2649,1699,1
Tuesday,25,2650,1699,1
Wednesday,25,2972,599,1
Monday,25,2972,599,1
Sunday,25,2972,599,2
Friday,25,2972,599,3
Monday,25,2929,199,1
Saturday,25,2929,199,1
Wednesday,25,2931,99,1
Thursday,25,2931,99,1
Monday,25,2934,599,1
Monday,25,2934,599,1
Sunday,25,2939,599,1
Sunday,25,2939,599,1
Sunday,25,2939,599,1
Sunday,25,2946,599,1
Tuesday,25,2946,599,1
Thursday,25,2953,299.5,1
Wednesday,25,3017,299,1
Tuesday,25,2953,599,1
Thursday,25,2956,599,1
Sunday,25,2956,599,1
Friday,25,2956,599,1
Friday,25,2960,449,1
Sunday,25,2960,449,1
Wednesday,25,2960,449,1
Wednesday,25,2960,449,1
Saturday,25,2960,449,1
Monday,25,2960,449,1
Sunday,25,2972,599,13
Wednesday,25,2972,599,5
Thursday,25,2972,599,2
Monday,25,2956,599,1
Wednesday,25,2321,999,1
Monday,25,3017,299,1
Tuesday,25,3017,299,1
Thursday,25,3186,299.5,3
Tuesday,25,3186,599,1
Saturday,25,3186,299.5,2
Sunday,25,3186,599,2
Saturday,25,3186,599,2
Sunday,25,3186,299.5,1
Monday,25,3186,374.25,4
Tuesday,25,3186,449.25,2
Monday,25,3186,299.5,1
Saturday,25,3186,299.5,1
Friday,25,3186,419.3,5
Saturday,25,3186,299.5,1
Monday,25,3186,599,1
Thursday,25,3186,599,1
Wednesday,25,3187,2499,1
Monday,25,3187,1249,1
Sunday,25,3095,299,1
Friday,25,3095,299,1
Friday,25,3098,1249,1
Saturday,25,3193,449,2
Thursday,25,3193,449,1
Saturday,25,3193,449,1
Wednesday,25,3193,449,1
Tuesday,25,3193,449,1
Thursday,25,3193,449,1
Sunday,25,3186,299.5,1
Thursday,25,3186,599,1
Tuesday,25,3186,499.1666667,3
Tuesday,25,3093,199,1
Thursday,25,3036,299,1
Monday,25,3045,1249.5,1
Sunday,25,3045,2499,1
Sunday,25,3045,2499,1
Tuesday,25,3046,1598,1
Friday,25,3050,499,1
Wednesday,25,3056,899,1
Wednesday,25,3056,899,1
Thursday,25,3056,899,1
Thursday,25,3056,898.5,1
Thursday,25,3056,898.5,1
Friday,25,3057,899,1
Wednesday,25,3017,299,1
Sunday,25,3057,898.5,1
Sunday,25,3076,1399,1
Sunday,25,3076,1399,2
Tuesday,25,3076,1399,2
Wednesday,25,3076,1399,1
Friday,25,3076,1399,1
Friday,25,3076,1398.75,2
Saturday,25,3077,1199,1
Friday,25,3077,1199,1
Saturday,25,3077,1199,1
Saturday,25,3077,1199,1
Tuesday,25,3080,1399,1
Friday,25,3081,1399,1
Saturday,25,2662,279,1
Wednesday,25,2319,1398.5,1
Thursday,25,2309,2799,1
Monday,25,2309,2799,1
Monday,25,1359,849.5,1
Wednesday,25,1261,399,1
Tuesday,25,1362,98,1
Thursday,25,1266,299,1
Monday,25,1268,299,1
Monday,25,1270,299,1
Friday,25,1270,299,1
Thursday,25,1375,449,1
Friday,25,1375,448.5,1
Sunday,25,1409,1399,1
Tuesday,25,1409,1399,1
Wednesday,25,1409,1399,1
Monday,25,1409,1399,1
Monday,25,1410,1399,1
Sunday,25,1418,349,1
Thursday,25,1418,349,1
Monday,25,1420,349,1
Wednesday,25,1420,349,1
Wednesday,25,1423,599,1
Tuesday,25,1423,599,1
Wednesday,25,1438,349,1
Friday,25,1291,299,1
Saturday,25,1292,899,1
Tuesday,25,1292,899,1
Saturday,25,1300,999,1
Saturday,25,1249,299,1
Sunday,25,1302,299,1
Sunday,25,1249,299,2
Thursday,25,1249,299,1
Friday,25,1205,1499,1
Friday,25,1206,849,1
Wednesday,25,1217,299,1
Sunday,25,1217,299,1
Monday,25,1225,899,1
Friday,25,1228,1249,1
Sunday,25,1243,449,1
Sunday,25,1243,449,2
Saturday,25,1243,449,1
Thursday,25,1243,449,1
Tuesday,25,1247,299,1
Tuesday,25,1247,299,1
Monday,25,1247,299,1
Monday,25,1247,299,1
Friday,25,1249,299,2
Sunday,25,1249,299,1
Sunday,25,1249,299,1
Sunday,25,1249,299,1
Monday,25,1249,299,1
Thursday,25,1249,299,2
Friday,25,1249,299,1
Saturday,25,1249,299,1
Wednesday,25,1249,299,2
Tuesday,25,1249,299,1
Tuesday,25,1249,299,1
Thursday,25,1249,299,1
Thursday,25,1302,299,1
Tuesday,25,1302,299,1
Saturday,25,1315,449,1
Wednesday,25,1471,2599,1
Wednesday,25,1471,2599,1
Wednesday,25,1471,2598.833333,3
Monday,25,1471,2599,2
Sunday,25,1471,2598.5,1
Wednesday,25,1471,2599,1
Friday,25,1471,2599,1
Sunday,25,1471,2598.5,1
Tuesday,25,1471,2599,1
Wednesday,25,1471,2599,1
Friday,25,1472,2599,4
Sunday,25,1472,2599,1
Saturday,25,1472,2599,1
Thursday,25,1472,2599,2
Friday,25,1472,2599,2
Friday,25,1472,2599,1
Wednesday,25,1472,2599,2
Friday,25,1472,2599,1
Wednesday,25,1472,2599,1
Thursday,25,1475,899,1
Sunday,25,1475,899,1
Friday,25,1475,899,1
Monday,25,1475,899,1
Thursday,25,1481,1999,1
Tuesday,25,1481,1998.9,3
Friday,25,1471,2599,1
Sunday,25,1471,2599,1
Friday,25,1471,2599,2
Sunday,25,1471,2599,3
Tuesday,25,1318,299,2
Saturday,25,1318,299,1
Thursday,25,1326,299,1
Tuesday,25,1332,399,1
Wednesday,25,1333,1549,1
Sunday,25,1463,1299,1
Wednesday,25,1467,899,1
Friday,25,1467,899,1
Wednesday,25,1470,599,1
Saturday,25,1470,599,1
Saturday,25,1470,599,3
Monday,25,1470,599,1
Saturday,25,1203,649,1
Saturday,25,1470,599,1
Sunday,25,1470,599,1
Monday,25,1470,599,3
Wednesday,25,1470,599,1
Saturday,25,1470,598.5,1
Thursday,25,1470,599,2
Wednesday,25,1470,599,1
Wednesday,25,1470,599,1
Tuesday,25,1470,599,1
Friday,25,1470,599,1
Sunday,25,1470,599,1
Friday,25,1470,599,3
Friday,25,1470,599,1
Friday,25,1470,599,4
Tuesday,25,1202,1299,1
Monday,25,1195,299,1
Monday,25,1187,1490,1
Monday,25,1000,99,1
Wednesday,25,1000,99,1
Sunday,25,1002,99,1
Tuesday,25,1003,99,1
Saturday,25,1004,99,1
Tuesday,25,1004,99,1
Wednesday,25,1005,99,1
Sunday,25,1006,399,1
Tuesday,25,1006,399,1
Wednesday,25,1006,399,1
Tuesday,25,1008,299,1
Saturday,25,1008,299,1
Thursday,25,1008,299,1
Monday,25,1008,299,1
Saturday,25,1013,299,2
Monday,25,1013,299,3
Monday,25,1017,299,1
Saturday,25,1017,299,1
Wednesday,25,1018,299,1
Saturday,25,1018,299,1
Thursday,25,1021,399,1
Wednesday,25,1021,399,1
Saturday,25,1021,399,1
Tuesday,25,1022,299,2
Thursday,25,1022,299,1
Saturday,25,999,99,1
Thursday,25,999,99,1
Friday,25,998,99,2
Sunday,25,998,99,1
Saturday,25,785,349,1
Saturday,25,785,349,1
Tuesday,25,791,600,2
Wednesday,25,791,600,1
Friday,25,791,600,2
Wednesday,25,791,600,1
Saturday,25,791,600,1
Tuesday,25,791,600,1
Tuesday,25,804,240,1
Tuesday,25,810,199,1
Tuesday,25,829,3300,1
Wednesday,25,832,299,1
Tuesday,25,1022,299,1
Thursday,25,832,299,1
Thursday,25,839,3300,1
Wednesday,25,839,3300,1
Tuesday,25,839,3300,1
Wednesday,25,944,549,1
Monday,25,944,549,1
Tuesday,25,965,299,1
Saturday,25,970,279,1
Sunday,25,977,149,1
Saturday,25,987,149,1
Wednesday,25,990,99,1
Monday,25,993,99,1
Wednesday,25,993,99,1
Thursday,25,839,3300,1
Thursday,25,1481,1999,2
Friday,25,1023,299,1
Saturday,25,1023,299,1
Tuesday,25,1102,249,1
Sunday,25,1102,249,1
Wednesday,25,1102,249,1
Monday,25,1103,249,1
Saturday,25,1103,249,1
Tuesday,25,1105,199,1
Friday,25,1110,149,1
Saturday,25,1113,149,1
Tuesday,25,1118,149,1
Wednesday,25,1119,399,1
Monday,25,1122,299,1
Monday,25,1126,299,1
Monday,25,1131,399,1
Monday,25,1132,299,1
Tuesday,25,1142,1399,1
Sunday,25,1142,1399,1
Tuesday,25,1144,399,1
Thursday,25,1144,399,1
Wednesday,25,1144,399,1
Wednesday,25,1151,1790,1
Wednesday,25,1153,4790,1
Sunday,25,1166,3870,1
Tuesday,25,1167,1099.5,1
Monday,25,1167,1100,1
Wednesday,25,1187,1490,1
Friday,25,1101,249,1
Saturday,25,1101,249,1
Saturday,25,1101,249,1
Friday,25,1101,249,1
Thursday,25,1025,499,1
Saturday,25,1025,499,1
Wednesday,25,1025,499,1
Saturday,25,1027,99,1
Wednesday,25,1031,99,2
Wednesday,25,1031,99,1
Thursday,25,1032,299,1
Saturday,25,1034,299,1
Friday,25,1036,99,1
Sunday,25,1036,99,1
Thursday,25,1047,649,1
Saturday,25,1048,648.5,1
Friday,25,1023,299,1
Tuesday,25,1051,649,1
Saturday,25,1054,649,1
Tuesday,25,1070,248,1
Thursday,25,1081,1979,1
Monday,25,1081,1979,1
Friday,25,1081,1979,1
Wednesday,25,1081,1979,1
Monday,25,1081,1979,1
Sunday,25,1082,1979,1
Thursday,25,1082,1979,1
Thursday,25,1082,1979,1
Sunday,25,1082,1979,1
Saturday,25,1097,149,1
Wednesday,25,1054,649,1
Tuesday,25,3286,299,1
Tuesday,25,1481,1999,1
Saturday,25,1481,1999,1
Wednesday,25,1931,124,1
Saturday,25,1953,1799,1
Monday,25,1953,899.5,1
Tuesday,25,1953,899.5,1
Wednesday,25,1953,899.5,1
Wednesday,25,1953,899.5,1
Tuesday,25,1956,399,1
Sunday,25,1956,399,1
Saturday,25,1697,1299,1
Thursday,25,1701,899,1
Thursday,25,1729,299,1
Thursday,25,1729,299,1
Tuesday,25,1729,299,1
Sunday,25,1731,299,1
Thursday,25,1731,299,1
Friday,25,1740,299,1
Friday,25,1740,299,1
Monday,25,1740,299,1
Friday,25,1740,299,1
Saturday,25,1741,299,1
Thursday,25,1750,549,1
Monday,25,1751,299,1
Friday,25,1987,599,1
Sunday,25,1987,599,1
Thursday,25,1987,599,1
Thursday,25,1676,299,1
Wednesday,25,1987,599,2
Wednesday,25,1676,299,1
Monday,25,1924,249,1
Sunday,25,1916,249,1
Sunday,25,1916,249,1
Thursday,25,1916,249,1
Tuesday,25,1916,249,1
Monday,25,1916,249,2
Thursday,25,1916,249,1
Tuesday,25,1916,249,1
Tuesday,25,1916,249,1
Monday,25,1916,249,1
Sunday,25,1916,249,1
Wednesday,25,1916,249,1
Monday,25,1916,249,2
Wednesday,25,1916,249,1
Friday,25,1918,249,1
Tuesday,25,1920,249,1
Saturday,25,1920,249,1
Monday,25,1920,249,1
Wednesday,25,1921,249,2
Tuesday,25,1921,248.5,1
Friday,25,1921,248.5,1
Wednesday,25,1921,249,1
Sunday,25,1921,249,1
Thursday,25,1921,249,1
Saturday,25,1921,248.5,1
Monday,25,1922,249,1
Saturday,25,1671,299,1
Friday,25,1985,2599,1
Wednesday,25,1986,2599,1
Tuesday,25,1992,999,1
Wednesday,25,2307,2798.75,2
Sunday,25,2308,799,1
Tuesday,25,2308,799,1
Saturday,25,2308,799,3
Wednesday,25,2308,799,1
Monday,25,2308,799,1
Saturday,25,2308,799,3
Monday,25,2308,799,2
Monday,25,2308,799,2
Thursday,25,2308,799,1
Saturday,25,2308,799,2
Wednesday,25,2308,799,2
Wednesday,25,2308,799,1
Saturday,25,2308,799,2
Monday,25,2308,799,1
Saturday,25,2308,799,1
Saturday,25,2308,799,1
Sunday,25,2308,799,4
Wednesday,25,2308,799,1
Saturday,25,2308,799,3
Sunday,25,2308,799,2
Monday,25,2309,2799,1
Monday,25,2309,2799,1
Wednesday,25,2309,2799,1
Friday,25,2309,2799,1
Thursday,25,2307,2799,1
Thursday,25,2307,2799,2
Saturday,25,2307,2798.75,2
Friday,25,2307,2798.5,1
Friday,25,1992,999,1
Thursday,25,1992,999,1
Monday,25,1763,249,1
Saturday,25,1763,249,1
Monday,25,2058,198,1
Sunday,25,1776,299,1
Tuesday,25,1777,299,1
Wednesday,25,1777,299,1
Thursday,25,1777,299,1
Friday,25,1777,299,1
Thursday,25,2068,299,1
Wednesday,25,2068,299,1
Friday,25,1916,249,1
Thursday,25,2067,1399,1
Friday,25,2302,1399,1
Saturday,25,2330,599,-1
Sunday,25,2330,599,1
Friday,25,2330,599,1
Tuesday,25,2304,1999,1
Tuesday,25,2304,1999,1
Tuesday,25,2304,1999,1
Saturday,25,2304,1999,1
Tuesday,25,2304,1999,1
Tuesday,25,2307,2799,1
Sunday,25,2307,2799,1
Friday,25,2307,2799,1
Friday,25,2247,849.5,1
Saturday,25,1916,249,1
Monday,25,1916,249,1
Monday,25,1913,249,1
Thursday,25,1782,299.5,1
Sunday,25,1782,599,1
Thursday,25,1624,299,1
Sunday,25,1790,1799,1
Saturday,25,1790,1798.5,1
Monday,25,1800,274.5,1
Tuesday,25,1800,549,1
Wednesday,25,1800,549,1
Thursday,25,1800,274.5,1
Sunday,25,1800,549,1
Saturday,25,1801,1499,1
Tuesday,25,1802,1499,1
Monday,25,1830,599,3
Wednesday,25,1830,598.5,1
Monday,25,1830,599,2
Sunday,25,1830,599,1
Tuesday,25,1830,599,1
Monday,25,1830,599,1
Sunday,25,1830,599,1
Monday,25,1830,599,1
Monday,25,1830,599,1
Thursday,25,1830,599,1
Saturday,25,1830,599,2
Saturday,25,1830,599,1
Sunday,25,1830,599,1
Tuesday,25,1611,399,1
Saturday,25,1342,279,1
Thursday,25,1342,279,1
Tuesday,25,1600,498,1
Thursday,25,1481,1999,1
Saturday,25,1481,1999,1
Monday,25,1481,1999,1
Saturday,25,1481,1999,1
Friday,25,1481,1999,1
Sunday,25,1481,1999,1
Friday,25,1481,1999,1
Saturday,25,1482,549,1
Tuesday,25,1482,549,1
Sunday,25,1523,799,1
Wednesday,25,1523,799,1
Wednesday,25,1523,799,1
Tuesday,25,1830,599,1
Thursday,25,1524,2999,2
Wednesday,25,1524,2999,1
Monday,25,1524,2999,1
Friday,25,1525,648.5,1
Sunday,25,1528,648.75,2
Thursday,25,1528,649,1
Wednesday,25,1593,1799,1
Thursday,25,1593,1799,1
Friday,25,1597,469,1
Wednesday,25,1598,1999,1
Tuesday,25,1598,1999,1
Wednesday,25,1598,1998.5,1
Monday,25,1598,1998.5,1
Wednesday,25,1524,2999,1
Monday,25,1481,1999,1
Tuesday,25,1832,1998.5,1
Wednesday,25,1833,1999,1
Thursday,25,1897,249,1
Thursday,25,1897,249,1
Wednesday,25,1897,249,1
Monday,25,1898,249,1
Tuesday,25,1901,249,1
Thursday,25,1904,249,1
Saturday,25,1904,249,1
Saturday,25,1904,249,1
Monday,25,1904,249,1
Friday,25,1905,249,1
Saturday,25,1905,249,1
Saturday,25,1908,249,1
Wednesday,25,1908,249,1
Saturday,25,1908,249,1
Sunday,25,1908,249,1
Saturday,25,1911,249,1
Friday,25,1911,249,1
Friday,25,1911,249,1
Tuesday,25,1911,249,1
Wednesday,25,1912,249,1
Sunday,25,1912,249,1
Friday,25,1913,249,1
Friday,25,1913,249,1
Sunday,25,1913,249,1
Wednesday,25,1913,249,1
Monday,25,1896,249,1
Tuesday,25,1894,599,1
Thursday,25,1894,598.5,1
Monday,25,1889,598.5,2
Tuesday,25,1833,1999,1
Monday,25,1829,1499,2
Saturday,25,1829,1499,1
Friday,25,1829,1499,1
Tuesday,25,1829,1499,1
Saturday,25,1829,1499,1
Tuesday,25,1829,1499,1
Thursday,25,1829,1499,1
Friday,25,1835,1999,1
Saturday,25,1835,1999,1
Tuesday,25,1835,1999,1
Sunday,25,1835,1999,1
Saturday,25,1832,1999,1
Thursday,25,1836,1999,1
Tuesday,25,1837,2599,1
Saturday,25,1869,799,1
Saturday,25,1869,799,1
Sunday,25,1871,299,1
Monday,25,1871,299,1
Thursday,25,1871,299,1
Sunday,25,1871,299,2
Wednesday,25,1630,2299,1
Saturday,25,1641,849,1
Thursday,25,1646,749,1
Thursday,25,1651,1199,1
Sunday,25,1661,399,1
Thursday,25,1836,1999,1
Wednesday,25,3286,299,1
Thursday,25,3286,299,1
Thursday,25,3286,299,1
Wednesday,25,5256,399.5,2
Monday,25,5256,399.5,1
Friday,25,5260,499,1
Saturday,25,5260,272.22,1
Wednesday,25,5261,1199,1
Friday,25,5261,1199,1
Thursday,25,5261,1199,1
Wednesday,25,5261,1199,1
Sunday,25,5261,1199,2
Friday,25,5263,499,1
Sunday,25,5275,1699,1
Friday,25,5275,1699,1
Friday,25,5275,1699,1
Friday,25,5275,1699,1
Wednesday,25,5275,1699,1
Monday,25,5275,1699,1
Thursday,25,5275,1699,1
Wednesday,25,5275,1699,1
Saturday,25,5275,1699,1
Thursday,25,5275,1699,1
Monday,25,5275,1699,1
Thursday,25,5275,1699,1
Sunday,25,5272,599,2
Sunday,25,5272,599,3
Sunday,25,5272,599,1
Saturday,25,5256,799,1
Monday,25,5272,599,1
Wednesday,25,5224,299,1
